epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,651.216,1.68927,2.99509,1.56003,0.35554,0.40389,0.30929,0.16139,1.43044,2.10315,1.30378,0.00333227,0.00333227,0.00333227
2,1259.88,1.62248,2.30408,1.49628,0.47061,0.4303,0.3646,0.19019,1.50691,1.98634,1.3117,0.00659962,0.00659962,0.00659962
3,1876.75,1.65111,2.24496,1.52126,0.39475,0.42625,0.35066,0.18262,1.50671,2.13954,1.36936,0.00980096,0.00980096,0.00980096
4,2486.03,1.65876,2.16777,1.52113,0.43694,0.44934,0.37209,0.20144,1.43645,2.00719,1.32598,0.009703,0.009703,0.009703
5,3075.41,1.5955,2.02095,1.48732,0.44957,0.44806,0.39495,0.2236,1.35559,1.95535,1.28166,0.009604,0.009604,0.009604
6,3691.7,1.54761,1.9257,1.45004,0.42405,0.48501,0.40623,0.23308,1.32217,1.91542,1.27207,0.009505,0.009505,0.009505
7,9072.5,1.52218,1.84947,1.42942,0.43476,0.48419,0.41071,0.2367,1.29621,1.89049,1.26211,0.009406,0.009406,0.009406
8,9669.3,1.49951,1.81409,1.41454,0.4482,0.49272,0.41501,0.24436,1.27795,1.89472,1.2412,0.009307,0.009307,0.009307
9,10257.9,1.47357,1.7561,1.39777,0.45257,0.50818,0.42255,0.24731,1.27218,1.86504,1.23239,0.009208,0.009208,0.009208
10,10853.3,1.46238,1.73468,1.3908,0.44081,0.50982,0.4213,0.24962,1.24053,1.86191,1.22646,0.009109,0.009109,0.009109
11,13851.3,1.4564,1.71447,1.38606,0.44827,0.49585,0.4189,0.25247,1.20418,1.85495,1.21164,0.00901,0.00901,0.00901
12,14267,1.44204,1.68676,1.37856,0.46162,0.50687,0.43791,0.26101,1.25321,1.94549,1.222,0.008911,0.008911,0.008911
13,14760.9,1.43147,1.67244,1.36863,0.45366,0.52175,0.43944,0.26248,1.20829,1.86408,1.20007,0.008812,0.008812,0.008812
14,15221.6,1.41294,1.63847,1.35325,0.46083,0.51078,0.44152,0.26651,1.20168,1.86774,1.1942,0.008713,0.008713,0.008713
15,15817.2,1.41704,1.6366,1.35627,0.45817,0.5101,0.43992,0.26665,1.18354,1.85695,1.19019,0.008614,0.008614,0.008614
16,16233.5,1.40129,1.61133,1.34764,0.46146,0.52126,0.4439,0.27013,1.16692,1.86165,1.18087,0.008515,0.008515,0.008515
17,16619.7,1.39382,1.60117,1.34053,0.45815,0.51429,0.44572,0.27394,1.162,1.84906,1.18033,0.008416,0.008416,0.008416
18,17961.8,1.38738,1.5882,1.33478,0.46883,0.51392,0.44293,0.27218,1.1571,1.93168,1.17427,0.008317,0.008317,0.008317
19,18567.9,1.38301,1.57419,1.33017,0.45901,0.52654,0.44747,0.27349,1.15599,1.91617,1.17235,0.008218,0.008218,0.008218
20,19170.3,1.37728,1.55905,1.32282,0.4816,0.51358,0.4536,0.28001,1.1415,1.90039,1.16709,0.008119,0.008119,0.008119
21,19774.1,1.37367,1.5508,1.32156,0.46769,0.51258,0.4485,0.27439,1.16336,1.92658,1.17193,0.00802,0.00802,0.00802
22,20350.1,1.36687,1.54322,1.31749,0.46098,0.52294,0.44901,0.27589,1.14227,1.96158,1.16445,0.007921,0.007921,0.007921
23,20951.5,1.36413,1.53484,1.31318,0.45785,0.5239,0.44945,0.27779,1.13295,1.96038,1.15828,0.007822,0.007822,0.007822
24,21559,1.35513,1.52273,1.30788,0.45785,0.53055,0.44817,0.27652,1.12246,1.94326,1.15493,0.007723,0.007723,0.007723
25,22156.4,1.35543,1.51322,1.30594,0.45686,0.52689,0.4492,0.27683,1.11915,1.9664,1.152,0.007624,0.007624,0.007624
26,22761.3,1.35015,1.51056,1.30213,0.45564,0.5305,0.44813,0.27629,1.11425,1.96586,1.14808,0.007525,0.007525,0.007525
27,23366,1.34932,1.50167,1.29933,0.46116,0.5201,0.44848,0.27729,1.11256,1.99107,1.14821,0.007426,0.007426,0.007426
28,23948.5,1.34821,1.49787,1.30097,0.45812,0.52289,0.44808,0.27639,1.11322,1.99136,1.14588,0.007327,0.007327,0.007327
29,24547.5,1.33968,1.49494,1.29537,0.46552,0.5209,0.44982,0.27673,1.11844,1.98449,1.14572,0.007228,0.007228,0.007228
30,25159.3,1.33594,1.48478,1.29314,0.46896,0.51958,0.45031,0.27815,1.11649,1.99412,1.14387,0.007129,0.007129,0.007129
31,25757.5,1.33976,1.48826,1.29572,0.46261,0.52019,0.44874,0.27789,1.10773,2.00763,1.14011,0.00703,0.00703,0.00703
32,26359.8,1.32829,1.47041,1.28771,0.46102,0.52141,0.44941,0.27855,1.10229,2.01906,1.13832,0.006931,0.006931,0.006931
33,26962.5,1.32524,1.46962,1.2876,0.46128,0.51845,0.44866,0.27855,1.0991,2.02692,1.13795,0.006832,0.006832,0.006832
34,27540.7,1.32255,1.46639,1.28934,0.4532,0.52681,0.44899,0.27905,1.09654,2.03156,1.13779,0.006733,0.006733,0.006733
35,28144.4,1.32004,1.45363,1.28134,0.45337,0.52945,0.4497,0.27972,1.09336,2.03112,1.13667,0.006634,0.006634,0.006634
36,28754.9,1.31796,1.45444,1.28207,0.45295,0.53071,0.45045,0.28028,1.09206,2.02758,1.13673,0.006535,0.006535,0.006535
37,29355,1.31765,1.44938,1.27764,0.45204,0.53303,0.45066,0.2808,1.0898,2.03003,1.13528,0.006436,0.006436,0.006436
38,29956.2,1.30861,1.43455,1.27472,0.45232,0.53124,0.45061,0.28091,1.08879,2.02991,1.13518,0.006337,0.006337,0.006337
39,30556.8,1.30885,1.43738,1.27575,0.45425,0.52894,0.45009,0.28025,1.08758,2.03112,1.13449,0.006238,0.006238,0.006238
40,31137.2,1.30031,1.42906,1.26916,0.45458,0.52662,0.44959,0.28023,1.08593,2.03395,1.13348,0.006139,0.006139,0.006139
41,31736.6,1.30083,1.42235,1.2687,0.45604,0.52563,0.44915,0.28028,1.08486,2.0379,1.13266,0.00604,0.00604,0.00604
42,32350.7,1.30357,1.42742,1.27069,0.45205,0.52774,0.44896,0.28018,1.08452,2.04372,1.13239,0.005941,0.005941,0.005941
43,32945.8,1.29548,1.416,1.26528,0.45112,0.52834,0.44851,0.27997,1.0836,2.04989,1.13176,0.005842,0.005842,0.005842
44,33549.7,1.29808,1.40879,1.26388,0.45071,0.52897,0.44817,0.27992,1.08242,2.05351,1.13117,0.005743,0.005743,0.005743
45,34153.5,1.29258,1.40865,1.26421,0.45052,0.52787,0.44774,0.27985,1.08184,2.05876,1.13092,0.005644,0.005644,0.005644
46,34733.1,1.29273,1.40679,1.26327,0.45002,0.52802,0.44757,0.27945,1.08132,2.0665,1.13066,0.005545,0.005545,0.005545
47,35340.4,1.29146,1.40761,1.26303,0.44949,0.52954,0.44709,0.27928,1.08052,2.06984,1.13009,0.005446,0.005446,0.005446
48,35957.3,1.28423,1.39462,1.26076,0.45131,0.52822,0.44712,0.27918,1.0798,2.07289,1.12972,0.005347,0.005347,0.005347
49,36549.9,1.28543,1.39804,1.25622,0.45033,0.52875,0.44678,0.27913,1.07894,2.07725,1.12906,0.005248,0.005248,0.005248
50,37151.9,1.27826,1.38481,1.25103,0.45024,0.52769,0.44677,0.27918,1.07838,2.07988,1.12867,0.005149,0.005149,0.005149
51,37756.9,1.27657,1.38243,1.25174,0.44911,0.52847,0.44657,0.2791,1.07746,2.08488,1.12791,0.00505,0.00505,0.00505
52,38336.5,1.27055,1.37572,1.2508,0.44974,0.52883,0.44661,0.27931,1.07668,2.08724,1.12742,0.004951,0.004951,0.004951
53,38938.5,1.27195,1.36838,1.2473,0.44935,0.52664,0.44637,0.27913,1.07683,2.09103,1.12722,0.004852,0.004852,0.004852
54,39549.1,1.26756,1.37552,1.24685,0.45057,0.52586,0.44617,0.27891,1.07656,2.09405,1.12707,0.004753,0.004753,0.004753
55,40145,1.26664,1.36532,1.24459,0.44994,0.52609,0.44596,0.27858,1.0764,2.09797,1.12686,0.004654,0.004654,0.004654
56,40755.5,1.26682,1.36585,1.24228,0.44817,0.52687,0.44577,0.27842,1.07636,2.10399,1.1264,0.004555,0.004555,0.004555
57,41360.4,1.2619,1.35586,1.24296,0.44853,0.5253,0.44551,0.27816,1.07601,2.10939,1.12594,0.004456,0.004456,0.004456
58,41941.4,1.25651,1.35181,1.23825,0.44694,0.52625,0.44521,0.27828,1.07568,2.11326,1.12557,0.004357,0.004357,0.004357
59,42544.5,1.25307,1.34801,1.23634,0.44637,0.52636,0.44487,0.27803,1.07525,2.11585,1.12519,0.004258,0.004258,0.004258
60,43153.8,1.25501,1.34805,1.23813,0.44547,0.52603,0.4448,0.27797,1.07474,2.11958,1.12465,0.004159,0.004159,0.004159
61,43754.1,1.24791,1.34853,1.23456,0.44481,0.52591,0.44471,0.27808,1.0746,2.12257,1.12434,0.00406,0.00406,0.00406
62,44356.1,1.24789,1.34247,1.23404,0.44477,0.52534,0.44399,0.27796,1.07386,2.12568,1.12399,0.003961,0.003961,0.003961
63,44962.3,1.24402,1.33355,1.23194,0.44415,0.5248,0.4439,0.27807,1.07328,2.13072,1.12359,0.003862,0.003862,0.003862
64,45544.3,1.23715,1.32968,1.2279,0.44411,0.52546,0.44378,0.27781,1.07305,2.13569,1.12315,0.003763,0.003763,0.003763
65,46148.4,1.24158,1.32793,1.22917,0.44287,0.52689,0.44393,0.27804,1.07282,2.13901,1.12274,0.003664,0.003664,0.003664
66,46757,1.23629,1.32582,1.22619,0.44375,0.52462,0.44372,0.27783,1.07255,2.14343,1.12225,0.003565,0.003565,0.003565
67,47357.5,1.22893,1.31227,1.2238,0.44393,0.52428,0.44336,0.27769,1.07217,2.14516,1.12183,0.003466,0.003466,0.003466
68,47961.8,1.2323,1.31205,1.22454,0.44309,0.52493,0.44321,0.27773,1.07148,2.14701,1.12127,0.003367,0.003367,0.003367
