epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.262,1.30485,3.10813,1.28721,0.24785,0.37207,0.20406,0.13869,1.04164,3.54338,1.14239,0.00332896,0.00332896,0.00332896
2,450.149,1.24283,2.39441,1.23687,0.24381,0.33906,0.19293,0.12721,1.15834,3.0843,1.19771,0.00659634,0.00659634,0.00659634
3,638.405,1.30887,2.29704,1.27254,0.22189,0.31121,0.17137,0.10231,1.29559,2.88235,1.30008,0.00979771,0.00979771,0.00979771
4,887.271,1.34853,2.22474,1.30784,0.24052,0.38271,0.20563,0.13044,1.21573,3.65871,1.25057,0.009703,0.009703,0.009703
5,1179.37,1.29164,2.07709,1.27548,0.23087,0.38303,0.20275,0.13399,1.15749,4.22693,1.23206,0.009604,0.009604,0.009604
6,1430.85,1.24535,1.9745,1.25427,0.25409,0.39835,0.2234,0.14885,1.1059,4.13149,1.20404,0.009505,0.009505,0.009505
7,1692.92,1.21436,1.90448,1.23526,0.27501,0.40529,0.21961,0.14934,1.074,3.54107,1.18988,0.009406,0.009406,0.009406
8,1928.33,1.19,1.85086,1.22364,0.28324,0.42859,0.23415,0.16173,1.04556,3.21708,1.16773,0.009307,0.009307,0.009307
9,2177.57,1.17715,1.81475,1.2174,0.27413,0.44206,0.23281,0.16055,1.03793,3.19659,1.15972,0.009208,0.009208,0.009208
10,2420.39,1.14808,1.78202,1.19966,0.28478,0.44393,0.2482,0.17257,1.03021,4.05784,1.15449,0.009109,0.009109,0.009109
11,2603.39,1.13598,1.7513,1.19019,0.28895,0.4241,0.23386,0.16477,1.00774,3.45324,1.14439,0.00901,0.00901,0.00901
12,2830.52,1.12573,1.7281,1.1872,0.28162,0.42137,0.24231,0.1713,1.00053,3.75639,1.14286,0.008911,0.008911,0.008911
13,3060.23,1.11396,1.7007,1.17747,0.29319,0.43065,0.23736,0.1666,1.01986,3.5668,1.14403,0.008812,0.008812,0.008812
14,3305.86,1.0965,1.67549,1.16776,0.29336,0.43378,0.24562,0.17462,0.97874,3.93909,1.1229,0.008713,0.008713,0.008713
15,3554.59,1.09338,1.66591,1.1661,0.28638,0.44179,0.23649,0.17032,0.98285,4.40244,1.12567,0.008614,0.008614,0.008614
16,3756.07,1.07729,1.6341,1.15425,0.27604,0.44114,0.2302,0.16548,0.98015,4.22059,1.12636,0.008515,0.008515,0.008515
17,4002,1.07098,1.62909,1.15258,0.28905,0.43856,0.2434,0.17639,0.96204,4.15758,1.11013,0.008416,0.008416,0.008416
18,4197.26,1.06489,1.60065,1.14893,0.27935,0.48177,0.24386,0.17858,0.93422,3.87182,1.09635,0.008317,0.008317,0.008317
19,4465.88,1.05152,1.59055,1.14359,0.28212,0.46459,0.23851,0.17421,0.92684,4.37187,1.09283,0.008218,0.008218,0.008218
20,4694.51,1.04687,1.5851,1.14127,0.29617,0.46126,0.24906,0.18149,0.93176,4.54337,1.09425,0.008119,0.008119,0.008119
21,4943.78,1.03901,1.56168,1.12984,0.27214,0.44181,0.23579,0.17266,0.92982,4.24779,1.09805,0.00802,0.00802,0.00802
22,5187.78,1.02992,1.55037,1.13452,0.29012,0.45793,0.24315,0.17973,0.91462,3.9406,1.09534,0.007921,0.007921,0.007921
23,5446.52,1.02149,1.53253,1.12314,0.28866,0.45607,0.24978,0.18441,0.92592,4.23775,1.0891,0.007822,0.007822,0.007822
24,5698.13,1.01675,1.53185,1.11967,0.28976,0.45724,0.24963,0.18371,0.91622,4.11345,1.08606,0.007723,0.007723,0.007723
25,5952.52,1.01075,1.51965,1.11736,0.29499,0.4601,0.24748,0.18183,0.91623,4.01482,1.08565,0.007624,0.007624,0.007624
26,6207.52,1.00808,1.50623,1.11636,0.29614,0.45582,0.24569,0.18262,0.89454,4.03382,1.07096,0.007525,0.007525,0.007525
27,6459.05,1.00161,1.50832,1.11554,0.28995,0.4504,0.24535,0.18253,0.89291,4.24334,1.07551,0.007426,0.007426,0.007426
28,6706.27,0.99553,1.48415,1.11113,0.27845,0.43798,0.22818,0.16931,0.89089,4.3096,1.07339,0.007327,0.007327,0.007327
29,6926.56,0.99735,1.48245,1.11042,0.28046,0.44579,0.2391,0.17764,0.89399,4.24683,1.07406,0.007228,0.007228,0.007228
30,7160.66,0.98082,1.47384,1.10212,0.2881,0.45682,0.24105,0.1795,0.8889,4.23246,1.07241,0.007129,0.007129,0.007129
31,7379.68,0.97827,1.45662,1.10144,0.28819,0.44645,0.23416,0.17523,0.86959,4.23968,1.06161,0.00703,0.00703,0.00703
32,7623.15,0.97149,1.45479,1.09623,0.29033,0.4662,0.24655,0.18587,0.87448,4.31096,1.06406,0.006931,0.006931,0.006931
33,7872.3,0.97516,1.4496,1.09793,0.28162,0.45368,0.24084,0.1808,0.86954,4.58864,1.05905,0.006832,0.006832,0.006832
34,8087.04,0.96748,1.443,1.09495,0.27948,0.44828,0.23375,0.17613,0.87514,4.4777,1.06221,0.006733,0.006733,0.006733
35,250.34,0.95466,1.42611,1.08789,0.27959,0.45392,0.23508,0.17712,0.86159,4.51576,1.05438,0.006634,0.006634,0.006634
36,492.293,0.96043,1.41974,1.08951,0.28129,0.45857,0.23661,0.17824,0.8586,4.37061,1.05208,0.006535,0.006535,0.006535
37,713.507,0.95614,1.41435,1.08649,0.27935,0.45208,0.23205,0.17492,0.86542,4.45344,1.05578,0.006436,0.006436,0.006436
38,898.645,0.95362,1.40799,1.08445,0.27616,0.45243,0.23229,0.17557,0.85088,4.87267,1.04741,0.006337,0.006337,0.006337
39,1079.34,0.94612,1.40266,1.08,0.27849,0.44529,0.23007,0.1745,0.85412,4.67362,1.04999,0.006238,0.006238,0.006238
40,1259.26,0.94034,1.38655,1.07804,0.28427,0.45201,0.23628,0.17998,0.83705,4.40395,1.04078,0.006139,0.006139,0.006139
41,1471.71,0.93742,1.38196,1.07433,0.28476,0.44989,0.23582,0.17915,0.83958,4.79685,1.04089,0.00604,0.00604,0.00604
42,1714.8,0.93388,1.38604,1.07181,0.28915,0.44789,0.23819,0.18185,0.83547,4.59652,1.03579,0.005941,0.005941,0.005941
43,1948.28,0.93514,1.37601,1.07471,0.28055,0.45025,0.23171,0.17647,0.83898,4.79993,1.03961,0.005842,0.005842,0.005842
44,2179.81,0.92324,1.37623,1.07005,0.27632,0.45087,0.22895,0.17423,0.84397,4.88944,1.04451,0.005743,0.005743,0.005743
45,2420.84,0.92266,1.36026,1.06722,0.27709,0.45003,0.22864,0.17439,0.83692,4.5255,1.03589,0.005644,0.005644,0.005644
46,2660.25,0.92129,1.35898,1.06878,0.27139,0.44621,0.22512,0.17215,0.83148,4.52931,1.03421,0.005545,0.005545,0.005545
47,2894.98,0.91574,1.35212,1.06377,0.27252,0.42979,0.22125,0.1691,0.83003,4.73756,1.03456,0.005446,0.005446,0.005446
48,3075.43,0.91151,1.34694,1.06309,0.2697,0.4363,0.22087,0.16894,0.8306,4.75834,1.03474,0.005347,0.005347,0.005347
49,3254.46,0.9161,1.34752,1.06138,0.26604,0.42524,0.21542,0.16483,0.83443,4.87184,1.03831,0.005248,0.005248,0.005248
50,6944.16,0.90629,1.33322,1.05667,0.26915,0.42768,0.21876,0.16802,0.82801,4.88019,1.03249,0.005149,0.005149,0.005149
51,7144.71,0.90998,1.33987,1.06058,0.26997,0.42828,0.2191,0.16794,0.82486,4.83403,1.0289,0.00505,0.00505,0.00505
